comment,gender,race,migrants,religion,sexual_orientation,acceptable
"Nič ne rečem. Ampak, ko cveti, je pa ful lepa tale regratova puščava:)",0.0,0.0,0.0,0.0,0.0,1.0
"Pešci naj posebej pazijo na “železne zavese”, ki migljajo med levim in desnim ušesom!",0.0,0.0,0.0,0.0,0.0,1.0
Že na prvem letošnjem teku pred biki v Pamploni več ranjenih,0.0,0.0,0.0,0.0,0.0,1.0
"Te so izključno s poti s konbijem, s kamionom nimam takih dobrih fur :)",0.0,0.0,0.0,0.0,0.0,1.0
"Baje, so v prve fotke prišle v medije s strani SD pr.",0.0,0.0,0.0,0.0,0.0,1.0
Revež bo prosil za premestitev. Predlagam 🇰🇵,0.0,0.0,0.0,0.0,0.0,1.0
Američani nameravajo iraško proiransko milico AAH razglasiti za teroristično organizacijo. ZDA Irak Iran,0.0,0.0,0.0,0.0,0.0,1.0
EULAR 2015: z ultrazvokom prikazano vnetje kitnih ovojnic močan zgodnji napovednik revmatoidnega artritisa -,0.0,0.0,0.0,0.0,0.0,1.0
AKCIJA V SEPTEMBRU ! Podaljševanje trepalnic (1 refil ) 20% popust pri naši T via,0.0,0.0,0.0,0.0,0.0,1.0
"Samo prijazni telefonski vodički skozi težave se lahko zahvalim, da danes berem tvite.",0.0,0.0,0.0,0.0,0.0,1.0
"Min. s sodelaci, pred. hum. org. veleposla. SR, BIH in HR se udeležujejo ses. PVRS o poplavah.",0.0,0.0,0.0,0.0,0.0,1.0
Prijave z vplacilom čimprej do zasedenosti prostih mest oziroma do 2 december,0.0,0.0,0.0,0.0,0.0,1.0
"Kaj vse se lepi na ta RK:N.P.Musar,Ranata Brunskule in še Keber..katapultira pa politika v humanitarni obliki !?",0.0,0.0,0.0,0.0,0.0,1.0
"venera, jap. daleč najbolj vidna s prostim očesom. podobna, a dosti manjša pikica je mars.",0.0,0.0,0.0,0.0,0.0,1.0
"Dej raj bajadero, kafe te bo zavrtelo, kot bi te kljunil Kalimero. kafetarime",0.0,0.0,0.0,0.0,0.0,1.0
"Pravkar sem si odstranila klopa 😱 po koliko časa me lahko panika začne grabit, če na mestu ugriza/vboda rdečica ne izgine?",0.0,0.0,0.0,0.0,0.0,1.0
"""...zibelka demokracije, četudi to že dolgo več ni..."" ""...naredili bomo most, ki bo še lepši in še starejši...""",0.0,0.0,0.0,0.0,0.0,1.0
Ideja za nedeljski zajtrk :D Ajurvedske veganske in brezglutenske palačinke Jajca in gluten so malce težje...,0.0,0.0,0.0,0.0,0.0,1.0
"Vidim, da so vse max 737 grounded.",0.0,0.0,0.0,0.0,0.0,1.0
Unicef: V Jemnu več kot sedem milijonov otrok ogroža lakota,0.0,0.0,0.0,0.0,0.0,1.0
Pravkar igram igro Biathlon Mania. Pridruži se in me poskusi premagati!,0.0,0.0,0.0,0.0,0.0,1.0
"Požiganje šol, vrtcev – te 'mehke metode' niso terorizem, so pa upor? 🤣",0.0,0.0,0.0,0.0,0.0,1.0
Raay je zunaj... Dekleta še ostajajo v garderobi. evrovizija2014,0.0,0.0,0.0,0.0,0.0,1.0
"sam mi smo vsako leto jedli poli salamo pa pili pingo sok, ceprav je tovarsica vsako leto opozarjala, kaj se zna zgodit",0.0,0.0,0.0,0.0,0.0,1.0
Čilenski Ibra obnorel nogometno Evropo fuzbal nogomet ligaprvakov -,0.0,0.0,0.0,0.0,0.0,1.0
"Prostor hammama (orientalska nižjetemperaturna savna z masažo) in prhe s svetlobnimi, zvočnimi in vodnimi efekti.",0.0,0.0,0.0,0.0,0.0,1.0
Kolikor jaz vem še ne - so bile presajene sem notri nedolgo nazaj.,0.0,0.0,0.0,0.0,0.0,1.0
Če je pa tebe blokiral. ....se lahko močno zamislimo...... vsi....,0.0,0.0,0.0,0.0,0.0,1.0
"Zarisati jasno mejo med “nami in vami”, se pogovoriti tudi o konkretnih podrobnostih ter vse zapisati. medgeneracijsko",0.0,0.0,0.0,0.0,0.0,1.0
"Najprej se poliže čokolada s pene, pol sama pena in nato piškot 😍",0.0,0.0,0.0,0.0,0.0,1.0
"Hvala, da si dodal radiatorje, ker sem se ze malo spraševala kako naj zrak iz mehurja spravim ven.",0.0,0.0,0.0,0.0,0.0,1.0
"Relaksacijo je treba previdno dozirat, da telo ne doživi prevelikega šoka.",0.0,0.0,0.0,0.0,0.0,1.0
Postanite voznik prodajalec: Zaposlitev Služba Delo,0.0,0.0,0.0,0.0,0.0,1.0
Rabim mašin. Neki mihnega za na majčko prheftat. Ne laufam s telefonom.,0.0,0.0,0.0,0.0,0.0,1.0
"Zapufal sem se sam za bajto za kej druzga pa tud pod razno ne, posebi ne za nov avtp 😉",0.0,0.0,0.0,0.0,0.0,1.0
"!!!!NOVOST!!!! Zdaj na voljo tudi bela zapestnica z belo tačko, dolžine 20 cm (možnost krajšanja), 5€",0.0,0.0,0.0,0.0,0.0,1.0
POLARNI VRTINEC BO ZAČEL V NASLEDNJIH DVEH TEDNIH SLABETI,0.0,0.0,0.0,0.0,0.0,1.0
"Pregled dogajanja: Zagoreli odpadki v zaklonišču. Povožena divjad, tatvine in vlom.",0.0,0.0,0.0,0.0,0.0,1.0
"Vlada rabi podporo ker zdaj res nimajo novih kandidatov za menjavanje, ker morajo izvest hude ukrepe penzije migranti...",0.0,0.0,0.0,0.0,0.0,1.0
"Janša: SDS so bo ves čas borila proti monopolom, pragmatizma tu ne bo uklonila, SDS se bo ves čas borila na tej fronti.",0.0,0.0,0.0,0.0,0.0,1.0
"če grmi, ni hudega ... če pa strela udari, pa ... Ah, v vlak ne bo.",0.0,0.0,0.0,0.0,0.0,1.0
"Ob režimski inscenaciji se izrisujejo 3 nerežimske skupine: skupina slabičev in nesposobnežev okoli RKC in njene NSi, ki bo volila slabiča.",0.0,0.0,0.0,1.0,0.0,0.0
"Spijeva celo buteljko, ampak ni videla, da sem ji sproti točila, in je bila prepričana, da je spila samo en kozarec 😂😂",0.0,0.0,0.0,0.0,0.0,1.0
"Ob sedmih sem se v kafani režal kot pečen maček. Mene je sram vsakič, ko grem s plastično vrečko domov.",0.0,0.0,0.0,0.0,0.0,1.0
"Tudi v tretji slovenski ligi se dosegajo ""evrogoli"", video fuzbal nogomet ligaprvakov -",0.0,0.0,0.0,0.0,0.0,1.0
SENIORSKE NOVICE: Prvi slovenski dan možganov - Terme Šmarješke Topl...,0.0,0.0,0.0,0.0,0.0,1.0
Tu ne. Pa ponavad prvo potegne pri nas skos. Je pa včeraj zibalo jelke okol bajte.,0.0,0.0,0.0,0.0,0.0,1.0
"Ja babica se res zmrduje... je pa res, da se zmrduje nad vsem zdaj... in sproti pozablja",0.0,0.0,0.0,0.0,0.0,1.0
"Delam ponoč, tko da če mate kšne eksplozivne viže, na plano žnjimi! prosmhvala",0.0,0.0,0.0,0.0,0.0,1.0
Zakaj če se poškoduješ? Nisi nezgodno zavarovan preko delodajalca?,0.0,0.0,0.0,0.0,0.0,1.0
Komunističnem svetu se reče komunističen prav zaradi tega ker ni demokratičen. Joj kako je zopet Orwell imel prav 1984,0.0,0.0,0.0,0.0,0.0,1.0
"To je trenutno najbolj ""vroče"" krilo na modni sceni!",0.0,0.0,0.0,0.0,0.0,1.0
Pečena cvetača s krompirjem in prekajenim mesom,0.0,0.0,0.0,0.0,0.0,1.0
"""Kaj ga je zdej sram prpelat, prej b mislu!"" Ko prijatelj noce predatavt punce 😂",1.0,0.0,0.0,0.0,0.0,0.0
"Raje ne gledam!Toda,da se moški iz sebe norčujejo nismo ženske krive!",0.0,0.0,0.0,0.0,0.0,1.0
"Ja, verjamem, da bi jim najbolj padalo, da smo vsi državljani na telekom. si",0.0,0.0,0.0,0.0,0.0,1.0
"Prednost mrzlega jutra je, da se ti kava takoj ohladi, ker jo itak piješ zunaj in jo lahko takoj skonzumiraš.",0.0,0.0,0.0,0.0,0.0,1.0
"Brat mami: Sara nardi bols krompir, sam ne ve kdaj je pecen in morm skos probavat. 🙈",0.0,0.0,0.0,0.0,0.0,1.0
Tu ne gre samo za poletno vročino...,0.0,0.0,0.0,0.0,0.0,1.0
"Kako preprečiti, da ti prispevek iz fursa prisilno ne vzamejo???",0.0,0.0,0.0,0.0,0.0,1.0
"Bersani: ""Le duševno bolan človek bi si želel vladati Italiji."" Berlusconi pravi, da bo komentiral, ko konča seanso pri psihiatru.",0.0,0.0,0.0,0.0,0.0,1.0
"Sem že hotel rečt prideparade ampak gasilec, gradbinec, mornar in indijanec zamujajo",0.0,0.0,0.0,0.0,0.0,1.0
varno je vozit obut v obutev ki ne zdrsuje. zagotovo pa ne bos,0.0,0.0,0.0,0.0,0.0,1.0
"ziher. V angleščink nisem nikoli tako pikra, kot v slovenščini.",0.0,0.0,0.0,0.0,0.0,1.0
"Popovič je nekje pri Postojni zgubil ful enih soglasnikov. Gledalci prosimo, da jih najditelj na hitro na RTV prinese. Volitve2017",0.0,0.0,0.0,0.0,0.0,1.0
"Policisti so zanikali informacije, da se je zgodilo tudi streljanje.",0.0,0.0,0.0,0.0,0.0,1.0
“Vojna” znotraj nastajajoče koalicije! Levica strelja proti SD! via,0.0,0.0,0.0,0.0,0.0,1.0
"Toplotne izolacije, Zelene strehe, FIBRAN NORD proizvodnja izolacijskih materialov d o o Novo mesto: via",0.0,0.0,0.0,0.0,0.0,1.0
Migrante so prijeli v Bušincu pri Dolenjskih Toplicah in na Vrheh nad Dolžem ...,0.0,0.0,0.0,0.0,0.0,1.0
"Kako je sedaj izpit delati z avtomatik vozilom, potem uporaba tempomata in drugih sistemov, npr. avt. luči....?",0.0,0.0,0.0,0.0,0.0,1.0
haha sej tipkovnica ni isto 🙈🙉🙊 ...ce naus nobenga najdu te septembra povabim na dirkane ob pivu,0.0,0.0,0.0,0.0,0.0,1.0
"pa ne me basat,kakšna smola ,spet. Drži se Ilka, mi smo s tabo",0.0,0.0,0.0,0.0,0.0,1.0
